cycleNo,source_stem,local_cycle_index,coverage_gap_priority,has_any_roi_video_sequence,has_primary_roi_sequence,any_abrupt_drop,future_any_drop_within_8cycles,future_any_drop_within_16cycles,cycles_to_next_drop_within_16,n_roi_total_across_tracked_cohorts,capacity_fraction_of_first,cross_modal_consensus_score,hazard_probability_mean,echem_outlier_score,consensus_class
150,17_c2_x10_HighHighCOV_150723,4.0,5.066660465803762,True,True,0,1,1,6.0,22,0.6072841340065684,0.6463997608683184,0.653134344657451,0.7555555555555556,multimodal_outlier_without_trace_drop
110,12_c2_x10_070723,5.0,4.946227341980214,True,True,0,1,1,6.0,14,0.9468630347525104,0.611098871807764,0.9516404439941396,0.3037037037037037,low_consensus
80,9_c2_x10_010723,5.0,4.942282362201651,True,True,0,1,1,6.0,8,0.9492506945317226,0.5744350932069912,0.941089475106074,0.4049382716049383,low_consensus
78,9_c2_x10_010723,3.0,4.85420904550772,True,True,0,1,1,8.0,14,0.949186607182162,0.587031555537657,0.7774683610451757,0.4296296296296296,low_consensus
82,9_c2_x10_010723,7.0,4.853058293882882,True,True,0,1,1,4.0,8,0.9498556829293208,0.5043613332622032,0.8934046700041016,0.5037037037037037,low_consensus
108,12_c2_x10_070723,3.0,4.787796779734522,True,True,0,1,1,8.0,14,0.942879244635122,0.4589576496713745,0.9168893589704746,0.491358024691358,low_consensus
151,17_c2_x10_HighHighCOV_150723,5.0,4.7577375806928295,True,True,0,1,1,5.0,22,,0.6252469725648413,0.7608619409545072,,multimodal_outlier_without_trace_drop
148,17_c2_x10_HighHighCOV_150723,2.0,4.6730476212313095,True,True,0,1,1,8.0,14,1.2783811435164876,0.4704060687622062,0.5371560453871215,0.7345679012345678,low_consensus
154,17_c2_x10_HighHighCOV_150723,8.0,4.6546040950155145,True,True,0,1,1,2.0,18,,0.5447656460704666,0.8005544413930782,,low_consensus
152,17_c2_x10_HighHighCOV_150723,6.0,4.64249832005639,True,True,0,1,1,4.0,22,,0.5746173679528156,0.7197942390798813,,low_consensus
84,9_c2_x10_010723,9.0,4.5859702647954865,True,True,0,1,1,2.0,14,0.9473647054415644,0.4625628185930831,0.731538128721427,0.3876543209876543,low_consensus
149,17_c2_x10_HighHighCOV_150723,3.0,4.549743489270309,True,True,0,1,1,7.0,6,1.2767005094859576,0.4103303381363065,0.5101945107671042,0.7296296296296296,low_consensus
153,17_c2_x10_HighHighCOV_150723,7.0,4.53107832904562,True,True,0,1,1,3.0,14,,0.510754289908875,0.7124990729848445,,low_consensus
112,12_c2_x10_070723,7.0,4.49731346993023,True,True,0,1,1,4.0,8,1.2560425814094447,0.6492858679943373,0.1990453058133759,0.4,low_consensus
155,17_c2_x10_HighHighCOV_150723,9.0,4.475500459597905,True,True,0,1,1,1.0,14,,0.4438913875983466,0.7849514472160799,,low_consensus
114,12_c2_x10_070723,9.0,4.3805418517474894,True,True,0,1,1,2.0,8,1.2511933001293012,0.4918830406099344,0.203385771981906,0.6197530864197531,low_consensus
56,7_c2_x10_290623,1.0,4.187879229461349,True,True,0,1,1,4.0,8,0.9634432441908478,0.5298946340222869,,0.4444444444444443,low_consensus
58,7_c2_x10_290623,3.0,4.130867021207221,True,True,0,1,1,2.0,12,0.9658603581567288,0.4907264225694314,,0.4567901234567901,low_consensus
137,16_c2_x10_HighHighCOV_130723,1.0,3.971551620452833,False,False,0,0,0,,0,1.301216928897572,0.4420377349729772,0.3418528377101889,0.7259259259259259,low_consensus
54,6_c2_x10_270623_2,9.0,3.870788922766727,True,True,0,1,1,6.0,8,0.9669171895228345,0.3548229380782439,,0.4024691358024691,low_consensus
52,6_c2_x10_270623_2,7.0,3.726900684664437,True,True,0,1,1,8.0,8,0.9670432907466742,0.279470605976536,,0.3728395061728394,low_consensus
76,9_c2_x10_010723,1.0,3.1575715651899134,True,True,0,0,1,10.0,10,0.9468080200353298,0.7100667532723229,0.8227760165580846,0.5308641975308641,low_consensus
106,12_c2_x10_070723,1.0,3.1401574942273363,True,True,0,0,1,10.0,4,0.9393028944169742,0.653099512589666,0.9403633721245898,0.5111111111111111,low_consensus
104,11_c2_x10_050723,9.0,3.0242627077754176,True,True,0,0,1,12.0,10,0.9464051563287332,0.6214992033011846,0.8985716542053739,0.4617283950617284,multimodal_outlier_without_trace_drop
70,8_c2_x10_300623,5.0,2.749145890827942,True,True,0,0,1,16.0,8,0.9583905997688662,0.6249321059714319,0.5095937326785109,0.4864197530864197,low_consensus
146,17_c2_x10_HighHighCOV_150723,0.0,2.7096354322042,True,True,0,0,1,10.0,18,1.279212774633289,0.5240337128483498,0.3928365304369413,0.8246913580246913,low_consensus
86,10_c2_x10_030723,1.0,2.661923319807762,True,True,1,0,0,,17,0.9416725650285604,0.8126999459104489,0.6219984479106454,0.5111111111111111,synchronized_multimodal_degradation_candidate
100,11_c2_x10_050723,5.0,2.6094034953778604,True,True,0,0,1,16.0,8,0.9476792599739868,0.550540452157886,0.6312103242346581,0.3160493827160494,low_consensus
102,11_c2_x10_050723,7.0,2.604010211243446,True,True,0,0,1,14.0,8,0.9474164455776312,0.498490114240084,0.6522043337041512,0.4172839506172839,low_consensus
147,17_c2_x10_HighHighCOV_150723,1.0,2.5954259039866376,True,True,0,0,1,9.0,14,1.280857160091032,0.4849426161254119,0.3726490041107748,0.7716049382716049,low_consensus
74,8_c2_x10_300623,9.0,2.52921055835371,True,True,0,0,1,12.0,8,0.9539485824904492,0.4221188480884023,0.558277404651741,0.6098765432098766,low_consensus
72,8_c2_x10_300623,7.0,2.443682018445596,True,True,0,0,1,14.0,8,0.9575150062038144,0.4689789085327928,0.4563104095395468,0.4765432098765432,low_consensus
140,16_c2_x10_HighHighCOV_130723,4.0,2.3354961150118534,True,True,0,0,1,16.0,6,1.295723100174619,0.3147687153033293,0.4940183566407085,0.6617283950617285,low_consensus
44,5_c2_x10_260623,9.0,2.310467630580931,True,True,0,0,1,16.0,10,0.9572997852937144,0.5160301341897263,,0.671604938271605,low_consensus
116,13_c2_x6_100723,1.0,2.302234863377296,True,True,1,0,0,,26,1.245784472764855,0.7951514188778093,0.1490509235308146,0.5580246913580247,synchronized_multimodal_degradation_candidate
144,16_c2_x10_HighHighCOV_130723,8.0,2.2820320813161383,True,True,0,0,1,12.0,8,1.285816099611151,0.4264043113263845,0.1387238568643515,0.7123456790123457,low_consensus
141,16_c2_x10_HighHighCOV_130723,5.0,2.2794245707541223,True,True,0,0,1,15.0,4,1.2954918098811627,0.2825770716537298,0.478012746969591,0.6765432098765433,low_consensus
145,16_c2_x10_HighHighCOV_130723,9.0,2.211046243312785,True,True,0,0,1,11.0,8,1.288353828041583,0.3399712758100459,0.3216913756010967,0.6074074074074074,low_consensus
143,16_c2_x10_HighHighCOV_130723,7.0,2.21093602427767,True,True,0,0,1,13.0,10,1.2909882542382496,0.2746474017896332,0.4033630745864978,0.6790123456790124,low_consensus
156,18_c2_xN_HighHighCOV_170723,0.0,2.1280232337040994,True,True,1,0,0,,20,,0.568138865483918,0.7148943581181924,,trace_event_low_modal_support
50,6_c2_x10_270623_2,5.0,2.03340410803895,True,True,0,0,1,10.0,4,0.9670201658628756,0.4586556892268503,,0.3876543209876543,low_consensus
46,6_c2_x10_270623_2,1.0,2.0104835155657663,True,True,0,0,1,14.0,8,0.9669318567388288,0.4476915167068101,,0.3802469135802469,low_consensus
142,16_c2_x10_HighHighCOV_130723,6.0,2.0053850213624713,True,True,0,0,1,14.0,4,1.2957462221510208,0.2094029775481388,0.3171317179496349,0.6296296296296297,low_consensus
48,6_c2_x10_270623_2,3.0,1.9086449185391716,True,True,0,0,1,12.0,8,0.9671063880273276,0.3786159293727958,,0.3999999999999999,low_consensus
60,7_c2_x10_290623,5.0,1.8935510003537295,True,True,1,0,0,,12,0.9669347905529714,0.6682945470398655,,0.4074074074074073,trace_event_low_modal_support
126,14_c2_x10_HighCOV_110723,5.0,1.8386110652087624,True,True,0,0,0,,8,1.3197942381614527,0.5645102487330952,0.9989304526276724,0.9802469135802468,multimodal_outlier_without_trace_drop
127,14_c2_x10_HighCOV_110723,6.0,1.6446162768895387,True,True,0,0,0,,4,1.3268353348079474,0.6485122944815467,0.9624056853274418,0.5037037037037038,low_consensus
128,14_c2_x10_HighCOV_110723,7.0,1.6128970738568005,True,True,0,0,0,,4,1.3167827873975326,0.5432225633158942,0.9421809134342192,0.7506172839506172,low_consensus
130,14_c2_x10_HighCOV_110723,9.0,1.604107006658393,True,True,0,0,0,,4,1.315532856502032,0.599774152201058,0.9052533075383646,0.6345679012345679,low_consensus
131,15_c2_x5_HighCOV_120723,0.0,1.5375386496690209,True,True,0,0,0,,6,1.3134871318663648,0.5386964414797567,0.8988469082831662,0.6962962962962962,low_consensus
129,14_c2_x10_HighCOV_110723,8.0,1.4657960962778116,True,True,0,0,0,,6,1.3108386372772145,0.4524770148222184,0.9610522136353422,0.7333333333333333,low_consensus
132,15_c2_x5_HighCOV_120723,1.0,1.3774760085126023,True,True,0,0,0,,4,1.310414919714716,0.4322342992452935,0.9182837586052188,0.6987654320987654,low_consensus
133,15_c2_x5_HighCOV_120723,2.0,1.341601055623788,True,True,0,0,0,,8,1.305889132861671,0.397972701668183,0.9332616754781254,0.7135802469135802,low_consensus
66,8_c2_x10_300623,1.0,1.3321555273593255,True,True,0,0,0,,4,0.9583043206595376,0.6238205914115059,0.67273427862754,0.4246913580246912,low_consensus
125,14_c2_x10_HighCOV_110723,4.0,1.186776644422385,True,True,0,0,0,,4,1.2394301473860592,0.7091560885205925,0.2592626113965617,0.4691358024691358,low_consensus
88,10_c2_x10_030723,3.0,1.0450451188420304,True,True,0,0,0,,28,0.9454395016823436,0.6974769390575238,0.2253600715577973,0.3185185185185185,low_consensus
92,10_c2_x10_030723,7.0,1.0390301868246037,True,True,0,0,0,,16,0.9449270784368828,0.7007544485570945,0.1895997584395418,0.3432098765432098,low_consensus
68,8_c2_x10_300623,3.0,1.0265306016516043,True,True,0,0,0,,8,0.957134043066144,0.4224834375326703,0.6120672889232416,0.5407407407407407,low_consensus
134,15_c2_x5_HighCOV_120723,3.0,1.0232030525349785,True,True,0,0,0,,8,1.3070588435126642,0.3582578911653455,0.6186616549619414,0.6938271604938272,low_consensus
123,14_c2_x10_HighCOV_110723,2.0,1.0006689250077672,True,True,0,0,0,,4,1.2383353181466323,0.5422862555202171,0.2824782651413232,0.582716049382716,low_consensus
96,11_c2_x10_050723,1.0,0.9775053336788125,True,True,0,0,0,,4,0.9466646390988418,0.5930616145518888,0.1479627706786541,0.5753086419753086,low_consensus
139,16_c2_x10_HighHighCOV_130723,3.0,0.9603848197572573,True,True,0,0,0,,6,1.2965031209856652,0.3825178586029437,0.5229779173899438,0.6469135802469136,low_consensus
90,10_c2_x10_030723,5.0,0.9573100769758096,True,True,0,0,0,,20,0.9462148129615064,0.6537558396927734,0.1596956506442356,0.3728395061728394,low_consensus
118,13_c2_x6_100723,3.0,0.932328660886178,True,True,0,0,0,,24,1.2461041739913812,0.6210497900874848,0.0154372124780379,0.5901234567901235,low_consensus
157,18_c2_xN_HighHighCOV_170723,1.0,0.8945830593509319,True,True,0,0,0,,8,,0.4387637703603633,0.6899878644277372,,low_consensus
138,16_c2_x10_HighHighCOV_130723,2.0,0.8591597827941657,True,True,0,0,0,,4,1.3006450525930031,0.4253128602455049,0.3117441505701304,0.6296296296296295,low_consensus
40,5_c2_x10_260623,5.0,0.8397929692263811,True,True,0,0,0,,18,0.9756926308993898,0.6072249755146135,,0.4814814814814815,low_consensus
98,11_c2_x10_050723,3.0,0.8185101156911452,True,True,0,0,0,,8,0.944343596605799,0.396323918810931,0.3650220072438089,0.5777777777777778,low_consensus
124,14_c2_x10_HighCOV_110723,3.0,0.8145816324063266,True,True,0,0,0,,4,1.24280365548795,0.5563158502704836,0.2527986612519755,0.2913580246913579,low_consensus
94,10_c2_x10_030723,9.0,0.8063265383017385,True,True,0,0,0,,8,0.947263951405458,0.569990226281757,0.1437799281815917,0.3728395061728394,low_consensus
158,18_c2_xN_HighHighCOV_170723,2.0,0.7376123805643819,True,True,0,0,0,,14,,0.3244773303897987,0.7325610284628066,,low_consensus
38,5_c2_x10_260623,3.0,0.734418377137301,True,True,0,0,0,,8,0.9767406697958962,0.5932911617212491,,0.3530864197530864,low_consensus
42,5_c2_x10_260623,7.0,0.6931718580873711,True,True,0,0,0,,8,0.9721828370123308,0.5216326550986351,,0.474074074074074,low_consensus
32,4_c2_x10_240623,7.0,0.6685162185304244,True,True,0,0,0,,4,0.9839889260430932,0.5735788492498853,,0.3012345679012346,low_consensus
136,16_c2_x10_HighHighCOV_130723,0.0,0.6521982518175059,True,True,0,0,0,,4,1.3002014125942996,0.3522411465431279,0.1307078515574958,0.711111111111111,low_consensus
10,2_c2_x14_200623,5.0,0.6251654821757378,True,True,0,0,0,,8,0.9957180461011615,0.5779721633732245,,0.2222222222222222,low_consensus
34,4_c2_x10_240623,9.0,0.5953848520777989,True,True,0,0,0,,8,0.9819699147709476,0.476956807988331,,0.437037037037037,low_consensus
36,5_c2_x10_260623,1.0,0.5918731867722942,True,True,0,0,0,,8,0.9726725307298484,0.4987028262231134,,0.3753086419753086,low_consensus
12,2_c2_x14_200623,7.0,0.5844441811613625,True,True,0,0,0,,4,0.9914533326651126,0.5114034382526892,,0.3308641975308641,low_consensus
26,4_c2_x10_240623,1.0,0.5842253078292268,True,True,0,0,0,,8,0.978391735098347,0.4788155430711611,,0.4148148148148148,low_consensus
8,2_c2_x14_200623,3.0,0.5552253027317466,True,True,0,0,0,,4,0.9975391573305568,0.5424595518228478,,0.2049382716049382,low_consensus
6,2_c2_x14_200623,13.0,0.528120959650664,True,True,0,0,0,,4,0.9843067449807432,0.4812421447096853,,0.3209876543209876,low_consensus
28,4_c2_x10_240623,3.0,0.508989177065012,True,True,0,0,0,,8,0.9816439393818468,0.4181524724986023,,0.4543209876543209,low_consensus
62,7_c2_x10_290623,7.0,0.47756369739794713,True,True,0,0,0,,12,0.963052324521998,0.3867839863470325,,0.4864197530864197,low_consensus
30,4_c2_x10_240623,5.0,0.4462936158942569,True,True,0,0,0,,8,0.9823588703427902,0.427103037238805,,0.3333333333333333,low_consensus
64,7_c2_x10_290623,9.0,0.3681055933615829,True,True,0,0,0,,8,0.9638440515657726,0.3589315964472019,,0.3876543209876543,low_consensus
2,2_c2_x14_200623,1.0,0.30173788773434584,True,True,0,0,0,,8,1.0,0.3885767790262172,,0.2074074074074074,low_consensus
4,2_c2_x14_200623,11.0,0.28946226523262963,True,True,0,0,0,,4,0.9855665928066654,0.3410784131367776,,0.311111111111111,low_consensus
14,2_c2_x14_200623,9.0,0.27803845417550144,True,True,0,0,0,,4,0.9868072305587616,0.3771427340403619,,0.2,low_consensus
