score,target,n,n_positive,orientation,oriented_auc,average_precision,median_positive,median_negative,median_positive_minus_negative,mannwhitney_p,source_eta2
exact_optical_loss_score,future_any_drop_within_16cycles,72,57,higher_in_positive,0.8526315789473684,0.959933168876511,0.16109127165457682,-0.5684814362456705,0.7295727079002473,2.998011006007407e-05,0.5127858096758277
exact_low_context_change_score,future_any_drop_within_16cycles,72,57,higher_in_positive,0.7690058479532164,0.9040116043515714,0.4032392012531749,-0.6670870736780904,1.0703262749312654,0.0013665529427647728,0.3165546893158413
particle_vs_context_mean_diff_positive_fraction,future_any_drop_within_16cycles,72,57,lower_in_positive,0.7690058479532164,0.9040116043515714,0.5052631578947369,0.5578947368421052,-0.05263157894736836,0.0013665529427647728,0.3165546893158412
particle_std_diff_positive_fraction,future_any_drop_within_16cycles,72,57,lower_in_positive,0.7228070175438597,0.9042435040369279,0.5157894736842106,0.5263157894736842,-0.010526315789473606,0.007855763262732856,0.19009184138361196
particle_mean_last_minus_first,future_any_drop_within_16cycles,72,57,higher_in_positive,0.6830409356725147,0.906068561838182,0.0026495156344026,0.0010448382236063,0.0016046774107963003,0.030535734842751124,0.5181653710998927
front_contraction_score,future_any_drop_within_16cycles,72,57,higher_in_positive,0.647953216374269,0.887736786992081,0.17014341400463573,-0.4132334603736084,0.5833768743782441,0.0806207490085397,0.07032076562599937
particle_gradient_diff_q90,future_any_drop_within_16cycles,72,57,higher_in_positive,0.6432748538011697,0.8998007795741315,0.0009415119886398,0.0004358328878879,0.0005056791007519001,0.09071610593660416,0.6226563294430654
diffusion_guardrail_score,future_any_drop_within_16cycles,72,57,higher_in_positive,0.6081871345029239,0.8404758892450482,0.04792679011469599,-0.1557556714496579,0.2036824615643539,0.20207674699088396,0.05329567208691489
rollout_residual_score,future_any_drop_within_16cycles,72,57,higher_in_positive,0.601169590643275,0.8587799482836596,-0.00031906083287303044,-0.21168718467623923,0.2113681238433662,0.23308010079530372,0.18296124426744398
