roi_id,cycleNo,method,mse,mae,psnr,ssim,validation_score
cycle116_rank1_obj6,116.0,low_rank_dmd,0.0003264645620220108,0.009793511970201507,36.09173999824406,0.9530916251065095,4.033089505345082
cycle116_rank1_obj6,116.0,persistence,7.79044924001937e-05,0.00684662778803613,41.09124223544062,0.96306262259774,4.033089505345082
cycle116_rank1_obj6,116.0,velocity,0.00022105422385720885,0.011560945335077122,36.56298043794301,0.90371716066873,4.033089505345082
cycle116_rank2_obj2,116.0,low_rank_dmd,0.00012116141067508579,0.006284467832301743,39.801798457433286,0.9738038663919095,4.159234021974196
cycle116_rank2_obj2,116.0,persistence,4.2193137119284074e-05,0.005051731510320678,43.751256983391315,0.9771075759648725,4.159234021974196
cycle116_rank2_obj2,116.0,velocity,0.00012289237338336534,0.008639257692266256,39.1088126301807,0.9358995832006136,4.159234021974196
cycle116_rank3_obj9,116.0,low_rank_dmd,0.00025429997572246066,0.009298531120293774,36.74393470933153,0.9653599505082785,4.261017170280639
cycle116_rank3_obj9,116.0,persistence,8.672821081745496e-05,0.00724848493700847,40.62484055399078,0.9617422180427353,4.261017170280639
cycle116_rank3_obj9,116.0,velocity,0.00024847147778928047,0.01229007908841595,36.05444303026676,0.9000348521143566,4.261017170280639
cycle116_rank4_obj58,116.0,low_rank_dmd,0.00023307748006118345,0.009866415115538985,36.83453449729644,0.9716821040452263,3.625239010614535
cycle116_rank4_obj58,116.0,persistence,0.0001010833377677045,0.007813325020833872,39.956799242013034,0.9655335454403619,3.625239010614535
cycle116_rank4_obj58,116.0,velocity,0.00030068263549765106,0.013479925313731655,35.222499418905045,0.9057275437011763,3.625239010614535
cycle116_rank7_obj37,116.0,low_rank_dmd,0.00028881528351121233,0.012277311587240547,35.62765574664369,0.9586595385291694,3.780379242324946
cycle116_rank7_obj37,116.0,persistence,0.00023272086127690272,0.01192851536325179,36.332634088468716,0.9373687259323987,3.780379242324946
cycle116_rank7_obj37,116.0,velocity,0.0006795939116273075,0.02041816065320745,31.67856896051362,0.8464483618320047,3.780379242324946
cycle116_rank8_obj20,116.0,low_rank_dmd,0.00025580502369848546,0.009855377196799964,36.19219779624818,0.9753310423657114,3.987079460919189
cycle116_rank8_obj20,116.0,persistence,8.027114972719573e-05,0.006905017071403563,40.96910827649999,0.9776629739169629,3.987079460919189
cycle116_rank8_obj20,116.0,velocity,0.0002374139839957934,0.011906964791705832,36.26076974161469,0.9376126005123427,3.987079460919189
cycle86_rank2_obj6,86.0,low_rank_dmd,0.00038995766726657166,0.0104730427992763,35.14568843030763,0.9370761931142885,5.344092852173012
cycle86_rank2_obj6,86.0,persistence,5.044132399234513e-05,0.0052146978850942105,43.45724187367276,0.9772174341406351,5.344092852173012
cycle86_rank2_obj6,86.0,velocity,0.00013521204414246313,0.008816078043309972,38.8655738986427,0.9381177713418448,5.344092852173012
cycle86_rank3_obj5,86.0,low_rank_dmd,0.0006523174924950581,0.014147253619739786,32.45138744429309,0.9080268868822087,4.595016519669338
cycle86_rank3_obj5,86.0,persistence,0.00010053724554381915,0.007223655557027087,40.5922048849668,0.9607380558979226,4.595016519669338
cycle86_rank3_obj5,86.0,velocity,0.00026151873726121266,0.012099237326765433,36.07680405685988,0.9001970340974951,4.595016519669338
cycle86_rank4_obj9,86.0,low_rank_dmd,0.0017249509210159886,0.020232415961800143,29.015163748974658,0.8855332756281994,3.518927813373632
cycle86_rank4_obj9,86.0,persistence,0.00013072009937786788,0.008130085727316327,39.588175002653756,0.959751041777386,3.518927813373632
cycle86_rank4_obj9,86.0,velocity,0.00033151384377561044,0.013614955329103395,35.07299437321634,0.8974440703917019,3.518927813373632
cycle86_rank5_obj8,86.0,low_rank_dmd,0.0006817117241553206,0.01292421278776601,33.076250693100704,0.9352938987461873,5.377963073534964
cycle86_rank5_obj8,86.0,persistence,5.611572828456701e-05,0.005407384931459092,43.123747891615835,0.978203665373364,5.377963073534964
cycle86_rank5_obj8,86.0,velocity,0.0001461320912312658,0.009114028769545257,38.57289539804965,0.9406870062978088,5.377963073534964
cycle86_rank8_obj17,86.0,low_rank_dmd,0.0013338402241060976,0.019573894678615034,29.782513949405615,0.8863303465115853,3.8991914755100505
cycle86_rank8_obj17,86.0,persistence,0.000113241186227242,0.007490094314562157,40.283982554305545,0.9703628235314915,3.8991914755100505
cycle86_rank8_obj17,86.0,velocity,0.00029459828829203616,0.01269976852927357,35.644023967144136,0.9209558159329089,3.8991914755100505
