feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
all_video,target_any_pre_vs_post_control,cycleNo,128,76,64,0.6368927125506073,0.7575092051298554,0.232907087485017,0.00815264969879415
spatial,target_any_pre_vs_post_control,cycleNo,128,76,64,0.6077935222672065,0.7010558555267314,0.1833981871878322,0.03824967527937059
dynamics,target_any_pre_vs_post_control,cycleNo,128,76,64,0.6002024291497975,0.7364316151244816,0.17048282189291447,0.05435692029065399
spatial,target_any_pre_vs_post_control,source_stem,128,76,14,0.5503542510121457,0.652208653927469,0.0856719231229545,0.3362867083903796
intensity,target_any_pre_vs_post_control,cycleNo,128,76,64,0.5296052631578948,0.7083653723307561,0.05036992465017928,0.572319371961715
dynamics,target_any_pre_vs_post_control,source_stem,128,76,14,0.5010121457489879,0.6755598322999914,0.0017220487059890351,0.9846084462638145
all_video,target_any_pre_vs_post_control,source_stem,128,76,14,0.46330971659919024,0.6452227476850769,-0.062424265592102526,0.4839242379897419
intensity,target_any_pre_vs_post_control,source_stem,128,76,14,0.4081477732793522,0.5950947669175648,-0.15627592006850494,0.07814436653933658
spatial,target_near_pre_vs_rest,cycleNo,128,32,64,0.7633463541666666,0.5355807846758186,0.3950315868412698,3.93973828319335e-06
spatial,target_near_pre_vs_rest,source_stem,128,32,14,0.7594401041666666,0.5147700527429043,0.3891720330191496,5.62306029644963e-06
all_video,target_near_pre_vs_rest,cycleNo,128,32,64,0.7561848958333334,0.5734312194356191,0.38428907150071606,7.524682958451383e-06
all_video,target_near_pre_vs_rest,source_stem,128,32,14,0.7223307291666666,0.5321450343291576,0.33350627170900776,0.00011961471683801243
intensity,target_near_pre_vs_rest,cycleNo,128,32,64,0.6178385416666666,0.46759487988659987,0.17676320696729253,0.04593660952562589
dynamics,target_near_pre_vs_rest,cycleNo,128,32,64,0.5266927083333334,0.3993567800888565,0.040040284451154665,0.6536190345864279
dynamics,target_near_pre_vs_rest,source_stem,128,32,14,0.37109375,0.3023420367662659,-0.1933652761299664,0.028749758692281777
intensity,target_near_pre_vs_rest,source_stem,128,32,14,0.31347656249999994,0.18511313997732487,-0.2797936950062393,0.0013810329737889897
all_video,target_pre16_clean_vs_post_control,cycleNo,106,54,53,0.7229344729344729,0.758856429407503,0.3860822771903152,4.360743240891736e-05
dynamics,target_pre16_clean_vs_post_control,cycleNo,106,54,53,0.6834045584045584,0.7387919551914338,0.3176235986469846,0.000907581909107328
spatial,target_pre16_clean_vs_post_control,cycleNo,106,54,53,0.6801994301994302,0.7066036722015678,0.3120728949813091,0.0011274562963824418
spatial,target_pre16_clean_vs_post_control,source_stem,106,54,13,0.6613247863247863,0.6968516326585514,0.27938541783899806,0.003727678821849513
intensity,target_pre16_clean_vs_post_control,cycleNo,106,54,53,0.6595441595441595,0.7219766742680069,0.27630169358028944,0.004143767857719377
dynamics,target_pre16_clean_vs_post_control,source_stem,106,54,13,0.6321225071225072,0.7011471153195433,0.2288123399961772,0.018313170652568423
all_video,target_pre16_clean_vs_post_control,source_stem,106,54,13,0.6086182336182335,0.7041089995304075,0.18810717978122388,0.05348380387300238
intensity,target_pre16_clean_vs_post_control,source_stem,106,54,13,0.5270655270655271,0.6519287177955071,0.046872608732370535,0.6332741988549041
